MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
368031000,2023-01-01T00:14:22,28.71899,-94.43173,9.5,343.8,346,AET INNOVATOR,IMO9632583,WDF9351,90,0,56,14,4,79,A
316014160,2023-01-01T00:12:53,42.34168,-80.17603,12.8,247.1,248,MANITOULIN,IMO8810918,XJBX,80,0,138,23,8.4,70,A
367534880,2023-01-01T00:12:55,29.94652,-90.37639,0,227.7,511,LOUISIANA HERITAGE,,WDG4280,31,0,19,,,31,A
367717840,2023-01-01T00:15:12,38.40348,-82.5557,0,360,511,TAYLOR RENEE,,WDI6355,31,15,17,,,31,A
367796070,2023-01-01T00:15:13,30.46627,-91.19445,0,258.2,357,BRYCE MORGAN,,WDJ6268,31,12,,,,57,A
316005998,2023-01-01T00:15:13,49.29142,-123.05835,0,135.7,56,OSPREY NO 1,IMO9158173,CFG7757,30,7,57,13,5.7,30,A
367456680,2023-01-01T00:15:22,41.31998,-89.05339,0,113.5,108,HAMILTON,,WDF4865,31,12,40,10,,57,A
319752000,2023-01-01T00:12:58,26.70316,-80.04511,0,244.5,179,REVELRY,IMO1010404,ZGBD,37,5,39,8,2.5,37,A
367492920,2023-01-01T00:15:25,33.73547,-118.27119,0,93.9,511,KENNETH CARL,IMO8978710,WDF8246,90,15,33,7,2.7,0,A
368024790,2023-01-01T00:13:03,40.56693,-89.65914,0,10.1,511,ARTCO MAIDEN,IMO1283448,WDJ9311,31,12,18,8,0,31,A
367152940,2023-01-01T00:15:30,33.46064,-117.70274,0,278.1,192,OUTWARD BOUND,,WDD5046,37,5,,,,37,A
367131000,2023-01-01T00:13:14,27.80997,-97.33649,0,286.4,511,ALASKA,,WDD5749,90,3,67,17,,33,A
316047565,2023-01-01T00:15:35,48.89408,-123.30043,17.5,176.2,175,SEASPAN TRADER,IMO9886392,CFA3570,70,0,149,26,3.8,70,A
232046024,2023-01-01T00:15:16,25.89552,-80.12807,1,360,258,GLADIUS,IMO0000000,MNCK2,37,,31,7,,,B
373332000,2023-01-01T00:13:15,47.59919,-122.35479,0,115.8,101,PORT STAR,IMO9583237,3FNZ3,70,1,228,32,14.4,70,A
338174473,2023-01-01T00:15:36,28.40879,-80.6023,0,277.5,511,PILOT BOAT 3,,,50,,,,,,B
538009564,2023-01-01T00:15:06,33.96357,-119.16962,18.1,199,189,DEL MONTE HARVESTER,IMO9869667,V7A4894,70,0,192,30,7.5,70,A
245968000,2023-01-01T00:13:15,18.87568,-65.90488,18.4,304,306,VOLENDAM,IMO9156515,PCHM,60,0,237,32,8.1,69,A
316030628,2023-01-01T00:15:17,49.00576,-123.12914,0,235.6,6,SALISH RAVEN,IMO9750294,CFDL,70,5,,,,60,A
316005715,2023-01-01T00:13:01,49.3115,-123.10685,0,115.1,511,SEASPAN HAWK,IMO9072408,VG6972,31,0,25,9,2.5,52,A
367429570,2023-01-01T00:13:14,36.86803,-89.12546,4.4,359.6,511,TED W EWING,,WDF2589,31,0,17,7,,31,A
367736640,2023-01-01T00:13:16,29.7351,-95.13495,6.4,276.3,274,URSULA CENAC,,WDI8245,31,12,,,,57,A
368584000,2023-01-01T00:13:20,28.5124,-90.13258,0.5,258.5,166,HARVEY SPIRIT,IMO9388106,WDD4830,90,0,85,18,5,90,A
367041150,2023-01-01T00:15:16,29.44449,-91.30414,0,238,511,DIXIE,,WDC5441,31,0,15,6,,52,A
367110450,2023-01-01T00:15:16,29.7634,-95.10953,0,360,511,SEAOPS 1,,WDJ3022,90,0,28,7,,60,A
367417570,2023-01-01T00:15:27,30.27856,-89.10263,7,89.8,94,NICEVILLE,,WDE9467,31,5,23,10,,57,A
368007130,2023-01-01T00:15:34,29.77937,-95.07618,0,211.3,287,PATRICK CENAC,,WDJ7481,31,12,24,,,57,A
477855700,2023-01-01T00:12:55,29.90149,-89.90779,9.9,157.1,160,YUNNAN,IMO9728409,VRO17,70,0,179,30,9.8,70,A
316022149,2023-01-01T00:15:23,49.29753,-123.0291,0,255.6,178,NORTHERN ALLIANCE,IMO8714437,CFN6077,30,7,39,9,4.1,30,A
367003220,2023-01-01T00:14:29,29.59792,-90.67264,0,202.8,511,CHARLOTTE C SETTOON,,WDD4755,31,0,15,6,,52,A
